GEO_CODE,name,GEO_TYPE,GEO_TYP2,population,Population (usual residents) : All dependent children in households - Unit : Persons,Population (usual residents) : Schoolchild or full-time student aged 4 and over at their non-term-time address - Unit : Persons,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents in households - Unit : Persons,Population (usual residents) : All usual residents in communal establishments (including people enumerated as sleeping rough) - Unit : Persons,Population (usual residents) : All usual residents in communal establishments - Unit : Persons,Population (usual residents) : All households - Unit : Households,Population (usual residents) : All communal establishments - Unit : Communal establishments,Population (usual residents) : Area (Hectares) - Unit : Hectares
S12000029,South Lanarkshire,Local Authorities,LA,313830,63278,1374,1.77,310501,3329,3329,139188,148,177189
S12000030,Stirling,Local Authorities,LA,90247,17766,1230,0.41,85874,4373,4373,37566,211,218697
S12000033,Aberdeen City,Local Authorities,LA,222793,36073,1530,12,214243,8550,8550,103371,265,18571
S12000034,Aberdeenshire,Local Authorities,LA,252973,53887,2891,0.4,250471,2502,2502,104714,267,631261
S12000035,Argyll & Bute,Local Authorities,LA,88166,16321,1362,0.13,85694,2472,2472,40125,259,690947
S12000036,Edinburgh; City of,Local Authorities,LA,476626,80418,4746,18.1,462334,14292,14292,223051,604,26333
S12000038,Renfrewshire,Local Authorities,LA,174908,34941,712,6.68,172717,2191,2191,80902,86,26194
S12000039,West Dunbartonshire,Local Authorities,LA,90720,18303,240,5.71,90028,692,692,42167,51,15876
S12000040,West Lothian,Local Authorities,LA,175118,39773,1040,4.1,173312,1806,1806,73398,78,42749
S12000041,Angus,Local Authorities,LA,115978,23147,1016,0.53,114445,1533,1533,51616,101,218179
S12000042,Dundee City,Local Authorities,LA,147268,26573,742,24.64,142101,5167,5167,69193,128,5978
S12000044,North Lanarkshire,Local Authorities,LA,337727,73144,849,7.19,335317,2410,2410,145998,92,46991
S12000045,East Dunbartonshire,Local Authorities,LA,105026,22005,824,6.02,104431,595,595,43473,33,17449
S12000046,Glasgow City,Local Authorities,LA,593245,107299,1828,33.96,578251,14994,14994,285693,405,17468
W06000001,Isle of Anglesey,Local Authorities,LA,69751,,848,0.9806942,68941,810,810,30594,,71124.11
W06000002,Gwynedd,Local Authorities,LA,121874,,1771,0.4807768,117974,3900,3900,52473,,253493.9
W06000003,Conwy,Local Authorities,LA,115228,,1520,1.023495,112531,2697,2697,51177,,112582.9
W06000004,Denbighshire,Local Authorities,LA,93734,,1211,1.120225,92483,1251,1251,40546,,83674.27
W06000005,Flintshire,Local Authorities,LA,152506,,1719,3.48554,151679,827,827,63781,,43753.91
W06000006,Wrexham,Local Authorities,LA,134844,,1370,2.676674,133244,1600,1600,57029,,50377.45
W06000008,Ceredigion,Local Authorities,LA,75922,,1203,0.4252251,71444,4478,4478,31562,,178545.4
W06000009,Pembrokeshire,Local Authorities,LA,122439,,1728,0.7563852,120545,1894,1894,53122,,161873.9
W06000010,Carmarthenshire,Local Authorities,LA,183777,,2254,0.7753144,181227,2550,2550,78829,,237035.5
W06000011,Swansea,Local Authorities,LA,239023,,2558,6.294316,234363,4660,4660,103497,,37974.42
